TSEcod;IBGEcod;Municipio;UF;COD_UF_IBGE;UF_MUN;MAPA_2010;ELE_MUN_2008
04006;1503093;GOIANESIA DO PARA;PA;15;PA_GOIANESIA DO PARA;SIM;SIM
04618;1503101;GURUPA;PA;15;PA_GURUPA;SIM;SIM
04634;1503200;IGARAPE ACU;PA;15;PA_IGARAPE ACU;SIM;SIM
04650;1503309;IGARAPE MIRI;PA;15;PA_IGARAPE MIRI;SIM;SIM
04677;1503408;INHANGAPI;PA;15;PA_INHANGAPI;SIM;SIM
04189;1503457;IPIXUNA DO PARA;PA;15;PA_IPIXUNA DO PARA;SIM;SIM
04693;1503507;IRITUIA;PA;15;PA_IRITUIA;SIM;SIM
04715;1503606;ITAITUBA;PA;15;PA_ITAITUBA;SIM;SIM
04731;1503705;ITUPIRANGA;PA;15;PA_ITUPIRANGA;SIM;SIM
04200;1503754;JACAREACANGA;PA;15;PA_JACAREACANGA;SIM;SIM
04758;1503804;JACUNDA;PA;15;PA_JACUNDA;SIM;SIM
04774;1503903;JURUTI;PA;15;PA_JURUTI;SIM;SIM
04790;1504000;LIMOEIRO DO AJURU;PA;15;PA_LIMOEIRO DO AJURU;SIM;SIM
04103;1504059;MAE DO RIO;PA;15;PA_MAE DO RIO;SIM;SIM
04812;1504109;MAGALHAES BARATA;PA;15;PA_MAGALHAES BARATA;SIM;SIM
04839;1504208;MARABA;PA;15;PA_MARABA;SIM;SIM
04855;1504307;MARACANA;PA;15;PA_MARACANA;SIM;SIM
04871;1504406;MARAPANIM;PA;15;PA_MARAPANIM;SIM;SIM
04642;1504422;MARITUBA;PA;15;PA_MARITUBA;SIM;SIM
05770;1504455;MEDICILANDIA;PA;15;PA_MEDICILANDIA;SIM;SIM
04898;1504505;MELGACO;PA;15;PA_MELGACO;SIM;SIM
04910;1504604;MOCAJUBA;PA;15;PA_MOCAJUBA;SIM;SIM
04936;1504703;MOJU;PA;15;PA_MOJU;SIM;SIM
04863;1504752;MOJUI DOS CAMPOS;PA;15;PA_MOJUI DOS CAMPOS;NAO;NAO
04952;1504802;MONTE ALEGRE;PA;15;PA_MONTE ALEGRE;SIM;SIM
04979;1504901;MUANA;PA;15;PA_MUANA;SIM;SIM
04480;1504950;NOVA ESPERANCA DO PIRIA;PA;15;PA_NOVA ESPERANCA DO PIRIA;SIM;SIM
04600;1504976;NOVA IPIXUNA;PA;15;PA_NOVA IPIXUNA;SIM;SIM
